Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2021-07-21,19,1751.3558503822355,699.6790199279785,,,0.44214773460205425,0.9648478627204895,0.25243982672691345,1328,,,,,1596096,
2021-07-22,69,1898.7231876081019,3625.4897733926773,13.0,13,0.4246096793800179,1.2476915121078491,0.2550294101238251,5808,,,,,3850042,
2021-07-23,97,1957.1524622011966,4812.725798606873,11.0,11,0.4263714801609262,1.4269487857818604,0.24708586931228638,7558,,,,,4743703,
2021-07-24,51,1791.0961724227836,2470.2706406116486,7.0,7,0.47424168990038884,1.4116580486297607,0.2660367786884308,3818,,,,,2203916,
2021-07-25,56,1826.995594114097,2411.549482345581,,,0.46709393061007237,1.1670678853988647,0.2550294101238251,4111,,,,,2752986,
2021-07-26,42,1743.1369388182827,1917.3406163454056,,,0.43990914567559897,0.968246340751648,0.2550294101238251,3361,,,,,1470390,
2021-07-27,63,1867.1671438479489,3229.5522042512894,8.0,8,0.3927576280851276,1.3116892576217651,0.2550294101238251,5217,,,,,2818776,243017
2021-07-28,78,1937.2394855860048,3468.959563612938,14.0,14,0.38364212935364805,1.6197506189346313,0.26565563678741455,5598,,,,,4438270,
2021-07-29,79,1945.4987783500492,2698.6738102436066,,,0.42345743960132504,1.18771493434906,0.2550294101238251,4530,,,,,4565463,
2021-07-30,43,1779.4343748030217,2591.7097289562225,20.0,20,0.5505710243779101,1.4230984449386597,0.2550294101238251,4003,,,,,2025552,
2021-07-31,92,1969.3578283806505,5412.060351133347,36.0,36,0.37368457919794396,1.6703908443450928,0.2550294101238251,8078,,,,,4782628,65449
2021-08-01,70,1815.6837845835396,2694.31903219223,2.0,2,0.4661173678924475,1.444595217704773,0.2762818932533264,4478,,,,,2579975,
2021-08-02,97,2012.579327884784,5326.233529806137,35.0,35,0.4888708119099407,1.3843330144882202,0.24788755178451538,8099,,,,,5591442,
2021-08-03,136,2108.378681849521,7700.740452051163,34.0,34,0.46148734909548067,1.3468300104141235,0.25864478945732117,11694,,,,,7056668,
2021-08-04,133,2102.1800161266488,7540.201274514198,52.0,52,0.43267214946515115,1.6701959371566772,0.24613313376903534,11405,,,,,6687952,121078
2021-08-05,84,1879.0157869510583,3671.3156510591507,13.0,13,0.39087779123061095,1.4133518934249878,0.26565563678741455,5996,,,,,3548624,
2021-08-06,111,2050.551154418627,6513.042625427246,52.0,52,0.4110927133023801,1.4815382957458496,0.2550294101238251,9641,,,,,6172213,
2021-08-07,118,2056.2816234813363,7533.929121732712,62.0,62,0.47586013294904395,1.4774022102355957,0.24797797203063965,11059,,,,,6259858,
2021-08-08,31,1805.022129935278,1535.0452375411987,5.0,5,0.35945798163733367,1.330897569656372,0.26565563678741455,2494,,,,,2416908,
2021-08-09,70,1920.2260893985203,4607.824654579163,40.0,39,0.3935915980689858,1.6747835874557495,0.26565563678741455,6746,,,,,3825091,156732
2021-08-10,70,1872.1068081348492,4407.023177146912,35.0,35,0.39346783905514693,1.5091224908828735,0.30816054344177246,6454,,,,,3442952,
2021-08-11,103,2035.1655199646477,6063.126904129982,51.0,51,0.38694019643768046,1.4408519268035889,0.2507961392402649,8791,,,,,4619238,583661
2021-08-12,181,2328.1260291818476,11212.147147655487,83.0,83,0.4853105279263247,1.5211132764816284,0.297534316778183,16264,,,,,10143314,121518
2021-08-13,134,2228.5972271027863,9292.422566533089,95.0,84,0.4288299729601976,2.70393705368042,0.2762818932533264,13129,84.0,84.0,84.0,,6254518,855175
2021-08-14,82,2074.01507448463,5698.963498234749,56.0,44,0.5787416605196264,2.8267946243286133,0.2528093755245209,7985,,,,,3705681,743917
2021-08-15,112,2254.164326596152,7831.292882442474,69.0,52,0.4948526585499559,2.9074084758758545,0.26565563678741455,10774,,,,,5218066,1133995
2021-08-16,113,2133.173220567385,6933.603895902634,53.0,53,0.5282432519519143,1.657251238822937,0.2869080901145935,10189,,,,,6453074,
2021-08-17,77,1929.256763110149,3128.6452605724335,4.0,4,0.509212847157365,1.3047118186950684,0.2550294101238251,5192,,,,,3503800,
2021-08-18,129,2461.3574993199127,9466.048410534859,85.0,66,0.6196066948718775,2.620237112045288,0.2550294101238251,12680,,,,,6432516,1906950
2021-08-19,130,2236.6710349902523,8678.014989376068,75.0,65,0.468180940563059,2.803175926208496,0.2550294101238251,12357,,,,,5771661,860852
2021-08-20,152,2398.00943026355,8904.73957490921,57.0,46,0.5992309112263612,2.4983177185058594,0.2550294101238251,12834,,,,,7615276,1120919
2021-08-21,93,1966.4259167293592,4932.864416599274,14.0,14,0.41911267236608646,1.2818403244018555,0.24705784022808075,8415,,,,,4041382,
2021-08-22,76,1986.0046415416496,5144.35569858551,54.0,54,0.4028063776666182,1.6725627183914185,0.2550294101238251,7734,,,,,4324553,
2021-08-23,149,2330.441065212393,8222.799054861069,61.0,55,0.46494303644053986,2.620598316192627,0.25161585211753845,12315,,,,,6893382,1048265
2021-08-24,60,1880.0748184395022,2721.567588210106,3.0,3,0.4001713286011612,1.4984726905822754,0.2762818932533264,4539,,,,,2792471,
2021-08-25,110,2301.6823551711636,4020.4880781173706,4.0,4,0.4764055800489832,1.461059331893921,0.2550294101238251,6691,,,,,8470907,186485
2021-08-26,103,2305.2168659918816,8255.958049416542,78.0,61,0.43197384383465753,2.9664697647094727,0.2550294101238251,11218,,,,,5125686,1429868
2021-08-27,79,2110.487165378941,5551.351993441582,42.0,29,0.5090413895197643,2.804150104522705,0.2550294101238251,7257,81.0,81.0,81.0,,3648907,1059961
2021-08-28,182,2383.0111388750415,11203.331957761136,75.0,75,0.7827283537283262,1.7126615047454834,0.2762818932533264,16395,,,,,9157310,789246
2021-08-29,41,1883.1195107696856,1947.4428094588839,,,0.5161213912904877,1.4963035583496094,0.26565563678741455,3215,,,,,3409433,
2021-08-30,113,2192.892918474932,8325.929088115692,81.0,69,0.5492616418753178,2.910166025161743,0.2550294101238251,11486,,,,,5674376,773492
2021-08-31,25,1716.286997603538,809.7184772491455,,,0.35654463054439073,0.8098205924034119,0.31878677010536194,1430,,,,,893930,
2021-09-01,135,2284.459273552695,8876.983977913857,77.0,63,0.45740885700769945,2.8504679203033447,0.2869080901145935,12290,,,,,6059686,1401775
2021-09-02,146,2226.818508574434,8917.997298002243,72.0,62,0.48388310241129157,2.8464369773864746,0.2550294101238251,12526,,,,,6347626,874125
